SC048Q01NA,RATCMP2,treat,Female,ST013Q01,ST034Q01,BELONG,ST121Q01,ST118Q04,ST011Q06,ST011Q07,MISCED,HISCED,HOMEPOS,ESCS,W_FSTUWT,STRATUM,CNTSTUID,SCHID
0.433658349,-1.427456004,0,0,-0.286345131,0.002042159,0.438256695,1.095547163,-0.519379,-0.163774303,0.825530246,-0.01000314,-0.28271487,-0.783234039,0.05616019,0.307654551,32,47,5
0.433658349,-1.427456004,0,0,0.422342259,0.002042159,0.438256695,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,0.198314975,1.082186637,0.307654551,32,64,5
0.433658349,-1.427456004,0,0,-0.286345131,0.002042159,-0.195992654,-0.564163487,1.692810812,-0.163774303,-1.265465085,0.873786663,0.750325924,1.888063733,1.641527506,0.307654551,32,288,5
0.433658349,-1.427456004,0,1,-0.286345131,1.175637335,1.080724825,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,0.200576609,-0.199889842,0.303153743,32,774,5
0.433658349,-1.427456004,0,0,-1.70371991,1.175637335,2.740317227,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,0.083485665,0.906372921,0.404230963,32,1290,5
0.433658349,-1.427456004,0,1,1.131029648,0.002042159,-0.725101742,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,-0.030212827,0.731167977,0.303153743,32,1984,5
0.433658349,-1.427456004,0,1,-0.286345131,-1.171553016,-0.556817188,-0.564163487,0.586715906,-0.163774303,-1.265465085,-0.01000314,-0.28271487,0.709546987,0.404013229,0.303153743,32,3043,5
0.433658349,-1.427456004,0,0,-1.70371991,1.175637335,-0.235984039,-0.564163487,-1.625473906,6.30809031,0.825530246,-3.545162353,-4.414878045,-1.192692535,-3.975014565,0.307654551,32,3231,5
0.433658349,-1.427456004,0,1,-0.286345131,-1.171553016,-1.767784419,-0.564163487,1.692810812,-0.163774303,0.825530246,0.873786663,0.750325924,-2.294210936,-0.405289939,0.303153743,32,5654,5
0.433658349,-1.427456004,0,0,-0.99503252,1.175637335,2.740317227,-0.564163487,0.586715906,-0.163774303,-1.265465085,-0.01000314,0.750325924,-0.522220953,-0.388731307,0.307654551,32,6173,5
0.433658349,-1.427456004,0,1,1.131029648,0.002042159,-0.195992654,1.095547163,-0.519379,-0.163774303,-1.265465085,-0.01000314,0.750325924,0.974569333,1.143307472,0.303153743,32,7249,5
0.433658349,-1.427456004,0,1,-0.99503252,-1.171553016,-1.000430908,1.095547163,-0.519379,-0.163774303,-1.265465085,-0.01000314,0.750325924,-0.501146639,0.19910015,0.303153743,32,7624,5
0.433658349,-1.427456004,0,0,-0.286345131,1.175637335,0.914745539,-0.564163487,-0.519379,-0.163774303,0.825530246,-0.01000314,-0.28271487,1.310627536,0.715948646,0.307654551,32,7849,5
0.433658349,-1.427456004,0,0,1.131029648,0.002042159,-0.518629925,-0.564163487,1.692810812,-0.163774303,0.003700613,0.873786663,0.750325924,1.217180945,1.198584084,0.307654551,32,8286,5
0.433658349,-1.427456004,0,0,1.839717038,1.175637335,2.740317227,-0.564163487,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,0.675930886,1.088761389,0.307654551,32,9235,5
