"SC048Q01","RATCMP2","treat","Female","ST013Q01","ST034Q01","BELONG","ST121Q01","ST118Q04","ST011Q06","ST011Q07","MISCED","HISCED","HOMEPOS","ESCS","W_FSTUWT","STRATUM","CNTSTUID","SCHID"
-0.30010146,0.127552831,0,1,0.422342259,-1.171553016,-1.128824305,-0.564163487,0.586715906,-0.163774303,0.825530246,0.873786663,0.750325924,-0.663573057,0.505800117,1.052654204,50,16111,566
2.598249788,0.127552831,0,1,-0.286345131,0.002042159,0.167738523,1.095547163,0.586715906,-0.163774303,-1.265465085,-0.01000314,0.750325924,0.338022255,0.891397099,0.36058582,16,30280,794
1.424234093,0.127552831,0,1,1.131029648,0.002042159,-0.195992654,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,0.391993059,1.065871514,2.357631652,24,12563,86
-0.446853422,0.127552831,0,1,-0.286345131,0.002042159,-0.195992654,-0.564163487,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,0.578372234,0.543178795,0.468780513,32,18441,267
1.314170121,0.127552831,0,0,-0.286345131,1.175637335,0.460708,-0.564163487,1.692810812,-0.163774303,-1.265465085,-0.01000314,0.750325924,1.413943074,0.755884172,1.179767636,50,4706,686
-0.336789451,-0.26272845,0,1,0.422342259,1.175637335,0.268969851,-0.564163487,0.586715906,-0.163774303,0.825530246,-0.893792943,0.750325924,0.806694433,0.718018475,0.654249794,10,30309,226
-0.520229403,0.127552831,1,1,0.422342259,1.175637335,1.707557225,-0.564163487,0.586715906,-0.163774303,0.825530246,0.873786663,0.750325924,0.248687725,0.751866268,2.275639628,22,13841,440
1.314170121,0.127552831,0,0,1.839717038,1.175637335,0.08063949,-0.564163487,-0.519379,-0.163774303,-1.265465085,-0.01000314,0.750325924,0.451515145,0.991114158,0.122913663,40,16118,600
1.314170121,0.127552831,0,1,-0.286345131,0.002042159,0.323494447,-0.564163487,-1.625473906,-0.163774303,-1.265465085,0.873786663,0.750325924,-0.187087963,0.436399966,0.084150051,52,25692,121
-0.777045337,0.127552831,0,1,0.422342259,-1.171553016,-1.170920501,-0.564163487,1.692810812,-0.163774303,-1.265465085,-0.01000314,0.750325924,0.742751881,0.639851989,0.875281064,44,28165,615
1.424234093,0.127552831,0,0,0.422342259,0.002042159,0.438256695,-0.564163487,-1.625473906,-0.163774303,0.825530246,0.873786663,0.750325924,0.447094679,1.039450755,2.868107647,24,16068,818
-0.630293375,0.127552831,0,0,0.422342259,-1.171553016,-1.000430908,-0.564163487,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,-0.075753906,0.711321969,0.488532713,32,7603,722
-0.887109308,0.127552831,0,0,1.131029648,-1.171553016,-0.895691564,-0.564163487,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,-0.585443894,0.640460762,0.216080676,4,7320,101
1.681050026,0.127552831,0,0,1.131029648,1.175637335,1.172133707,-0.564163487,-0.519379,-0.163774303,-1.265465085,-0.893792943,0.750325924,0.587829974,1.125896557,1.406797818,22,8158,215
-0.703669356,0.127552831,0,0,0.422342259,1.175637335,1.650627132,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,0.89109449,1.081821373,0.296586401,10,142,657
-0.850421318,0.127552831,0,1,-0.286345131,-1.171553016,-0.919245388,-0.564163487,1.692810812,-0.163774303,-1.265465085,0.873786663,0.750325924,0.792096616,0.665785729,0.669137581,32,20988,280
-0.079973517,0.127552831,0,1,1.839717038,0.002042159,-0.195992654,1.095547163,-0.519379,-0.163774303,-1.265465085,-0.01000314,0.750325924,0.668220771,0.934498245,0.839318873,8,10480,306
-0.850421318,2.193947511,0,1,1.131029648,0.002042159,-0.661055387,-0.564163487,0.586715906,-0.163774303,-1.265465085,-0.01000314,-0.28271487,1.107286108,0.250115349,3.194221117,24,29822,783
-0.520229403,0.127552831,1,1,1.131029648,0.002042159,-0.542384207,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,0.717359903,0.603690857,0.787988416,50,16828,238
-0.336789451,0.127552831,0,1,1.839717038,-1.171553016,-0.003552902,-0.564163487,-0.519379,-0.163774303,-1.265465085,-0.01000314,0.750325924,-0.533631923,0.537212818,0.449780907,19,14617,369
-0.520229403,0.127552831,1,0,1.131029648,0.002042159,-0.195992654,-0.564163487,1.692810812,-0.163774303,0.825530246,0.873786663,0.750325924,0.345423965,0.743708706,2.822858741,22,20984,440
-0.520229403,0.127552831,0,0,0.422342259,1.175637335,0.503906715,-0.564163487,-1.625473906,-0.163774303,-1.265465085,0.873786663,0.750325924,1.172976287,0.751622759,0.369097511,28,22802,105
-0.336789451,0.127552831,0,1,-0.286345131,1.175637335,-0.529655119,4.414968462,-1.625473906,-0.163774303,0.825530246,-0.893792943,-1.315755663,1.239488877,0.541595985,1.313738824,44,20778,814
-0.006597536,0.127552831,1,1,0.422342259,-1.171553016,-1.099457197,-0.564163487,0.586715906,-0.163774303,0.825530246,0.873786663,0.750325924,0.025094396,0.67966576,3.282063896,22,8326,667
0.580410311,-1.128002603,0,1,0.422342259,-1.171553016,-0.97206609,-0.564163487,1.692810812,-0.163774303,-1.265465085,0.873786663,0.750325924,0.344807156,1.171067533,2.393948595,24,8746,115
-0.777045337,0.127552831,0,1,1.131029648,0.002042159,0.658058974,-0.564163487,1.692810812,-0.163774303,0.825530246,-0.01000314,0.750325924,0.146194599,0.506043627,0.351185772,16,13900,798
-0.813733327,0.127552831,1,1,1.131029648,1.175637335,0.08063949,-0.564163487,0.586715906,-0.163774303,0.825530246,0.873786663,0.750325924,-0.34807516,0.643139364,1.972915011,22,23469,329
-0.703669356,0.127552831,0,1,-0.286345131,1.175637335,1.080724825,1.095547163,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,1.102351635,0.618057906,3.846475209,24,8996,55
-0.850421318,0.127552831,1,1,0.422342259,0.002042159,-0.7898497,-0.564163487,-0.519379,-0.163774303,0.825530246,-0.01000314,-0.28271487,0.546092553,0.48388428,2.375117806,22,749,840
-0.483541413,0.127552831,0,0,1.131029648,1.175637335,2.740317227,1.095547163,0.586715906,-0.163774303,-1.265465085,-0.893792943,-1.315755663,2.369277698,0.656045357,2.048233444,50,962,675
-0.190037489,0.127552831,0,0,1.131029648,0.002042159,-0.195992654,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,1.461848588,0.80190743,2.10465852,24,26913,608
0.617098302,0.127552831,0,1,-0.286345131,0.002042159,0.438256695,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,-0.289786692,0.542691777,1.184381776,50,506,629
-0.850421318,0.216948209,0,0,-1.70371991,-2.345148191,-1.145362096,-0.564163487,-1.625473906,6.30809031,0.825530246,-0.01000314,-0.28271487,-1.937900831,-1.679208858,0.254156033,10,15596,75
0.213530407,0.127552831,0,1,1.839717038,1.175637335,0.938098905,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,0.258865077,0.429216442,0.084150051,52,4432,800
0.580410311,0.127552831,0,1,1.131029648,0.002042159,0.132959047,-0.564163487,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,0.214866021,0.686849284,2.374641459,24,8530,831
-0.373477441,0.127552831,0,0,0.422342259,1.175637335,0.460708,-0.564163487,-0.519379,-0.163774303,0.825530246,-0.893792943,-0.28271487,1.005923799,0.734333598,0.817605206,44,21382,713
-0.777045337,0.127552831,0,0,0.422342259,1.175637335,0.460708,-0.564163487,-1.625473906,-0.163774303,0.825530246,0.873786663,0.750325924,0.006487319,0.747117837,0.525505446,10,15803,98
2.047929931,0.127552831,0,1,-0.286345131,0.002042159,-0.542384207,-0.564163487,-0.519379,-0.163774303,-1.265465085,-0.01000314,-0.28271487,1.223657441,0.980034485,0.227159451,19,7415,357
-0.226725479,0.127552831,0,1,-0.286345131,1.175637335,0.420917072,-0.564163487,0.586715906,-0.163774303,0.825530246,0.873786663,0.750325924,-0.5925372,0.637295141,1.326318655,44,17782,488
1.314170121,0.127552831,0,0,-0.286345131,1.175637335,0.808602989,1.095547163,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,0.166240897,0.917209085,2.047031655,22,1173,838
-0.887109308,0.127552831,0,1,-0.286345131,-1.171553016,-0.635697441,-0.564163487,0.586715906,-0.163774303,0.825530246,0.873786663,0.750325924,-0.692357486,0.543544059,0.194472667,4,20412,101
0.848411874,0.127552831,0,0,1.839717038,0.002042159,-0.43373593,1.095547163,-0.519379,-0.163774303,0.825530246,0.873786663,0.750325924,0.662977893,1.083160675,0.340693135,10,13086,288
1.094042178,0.127552831,0,0,-0.99503252,-1.171553016,-0.108793391,-0.564163487,1.692810812,-0.163774303,-1.265465085,0.873786663,0.750325924,-0.139799259,0.85949738,2.889795933,24,18756,405
-0.520229403,0.127552831,1,0,0.422342259,0.002042159,0.167738523,-0.564163487,-1.625473906,-0.163774303,-1.265465085,-0.893792943,0.750325924,0.252696985,0.60271682,0.216839173,32,12790,711
1.314170121,0.127552831,0,1,1.131029648,0.002042159,-0.230471442,-0.564163487,0.586715906,-0.163774303,-1.265465085,0.873786663,0.750325924,0.039795015,0.76160664,2.39621228,22,12867,838
-0.043285527,0.127552831,0,1,-0.286345131,-1.171553016,-0.895691564,-0.564163487,-0.519379,-0.163774303,-1.265465085,0.873786663,0.750325924,-0.13250035,0.585914678,0.361282338,32,15790,761
