"V1","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","Y","CNTSTUID","SCHID"
1,2,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,10,2,10,2,28,0,541.16,12427082,12400011
1,2,1,2,3,4,5,5,0,1.5043,-0.5103,0.5006,10,2,10,2,28,0,431.36,12427296,12400011
1,2,1,1,5,3,6,6,375,-0.6525,0.6715,0.9721,10,2,10,2,28,0,717.458,12428934,12400011
1,2,1,1,4,3,6,6,375,-0.3381,1.828,1.8517,10,2,10,2,28,0,586.253,12429490,12400011
1,2,1,1,2,3,4,4,550,0.0248,-0.1877,-0.5982,10,2,10,2,28,0,614.934,12430794,12400011
1,2,2,1,6,3,6,6,375,-0.3381,1.089,1.2908,89,24,4,2,13,0,584.413,12406211,12400012
1,2,1,1,4,3,5,5,600,-0.5064,1.5548,0.7429,89,24,4,2,13,0,478.787,12406411,12400012
1,2,1,1,1,4,2,2,600,-0.4544,1.5623,-0.0637,89,24,4,2,13,0,453.306,12411073,12400012
1,2,1,2,1,3,4,6,600,-0.0848,-1.1665,-0.5299,89,24,4,2,13,0,422.187,12413415,12400012
1,2,1,2,2,3,6,6,500,-0.3381,0.3075,0.921,89,24,4,2,13,0,465.889,12413890,12400012
1,2,1,2,4,4,6,6,600,1.5043,0.7281,1.2202,89,24,4,2,13,0,471.562,12419664,12400012
1,2,1,2,5,4,6,6,900,1.0269,1.5215,1.0778,89,24,4,2,13,0,461.809,12429391,12400012
1,1,1,2,3,4,6,6,800,-0.0621,0.119,0.8517,89,24,4,2,13,0,540.498,12400042,12400012
1,1,1,2,4,3,5,5,800,-0.3381,0.9053,0.6489,89,24,4,2,13,0,480.549,12416017,12400012
1,1,1,2,4,4,5,5,800,1.398,0.6748,0.9361,89,24,4,2,13,0,468.89,12418844,12400012
1,1,1,1,4,3,6,6,800,-0.6925,2.0247,1.676,89,24,4,2,13,0,462.546,12421359,12400012
1,1,1,1,6,2,4,4,900,-1.0176,1.355,0.1592,89,24,4,2,13,0,615.926,12428669,12400012
1,1,1,1,3,3,5,5,240,0.1434,0.5488,-0.164,89,24,4,2,13,0,453.595,12416958,12400012
1,1,1,2,5,3,6,6,220,0.0248,1.3526,1.5737,NA,20,20,1,33,0,537.228,12400977,12400015
1,1,1,1,5,3,5,6,240,-0.3381,1.379,1.5214,NA,20,20,1,33,0,571.988,12405427,12400015
1,1,1,2,3,3,6,6,200,-0.3381,0.8998,1.3039,NA,20,20,1,33,0,553.504,12406754,12400015
1,1,1,1,3,3,5,5,150,-0.3381,0.7278,0.7076,NA,20,20,1,33,0,539.342,12408031,12400015
1,1,1,2,2,2,4,4,200,-1.8909,-0.0547,-0.6482,NA,20,20,1,33,0,455.42,12409901,12400015
1,1,1,2,5,1,4,4,275,-1.3612,-0.1632,-0.5848,NA,20,20,1,33,0,466.351,12414127,12400015
1,1,1,1,5,3,5,5,220,-0.3381,0.5596,0.4805,NA,20,20,1,33,0,478.683,12415672,12400015
1,1,1,2,5,3,5,5,240,-0.7577,1.5917,1.1078,NA,20,20,1,33,0,405.756,12416025,12400015
1,1,1,2,5,3,6,6,180,-0.082,1.1272,1.3255,NA,20,20,1,33,0,578.482,12418021,12400015
1,1,1,2,3,4,6,6,180,2.5915,1.2219,1.009,NA,20,20,1,33,0,561.914,12418209,12400015
