"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","CNTSTUID"
84000006,438.07,2,1,1,1,4,4,6,765,-0.7943,1.3852,1.2984,7,8,62,3,23,0,1,84004380
84000006,522.813,2,1,2,1,3,4,5,270,0.0248,-1.0562,-0.8344,7,8,62,3,23,0,1,84005885
84000006,376.307,2,1,2,3,4,6,6,345,-0.378,-0.6327,0.1849,7,8,62,3,23,0,1,84005989
84000006,493.668,2,1,2,1,4,5,5,180,1.5043,-0.8337,-0.7113,7,8,62,3,23,0,1,84006449
84000006,455.62,2,1,2,4,3,5,5,270,0.0248,0.0202,0.367,7,8,62,3,23,0,1,84006773
84000006,449.793,2,1,2,2,1,2,5,360,-1.2082,-0.1757,-0.7381,7,8,62,3,23,0,1,84007697
84000006,439.255,2,1,2,2,2,4,4,140,-0.8616,-0.3043,-0.8019,7,8,62,3,23,0,1,84007803
84000006,426.347,2,1,2,1,4,4,4,540,0.7934,0.0396,0.1966,7,8,62,3,23,0,1,84010001
84000006,495.888,2,1,2,2,4,4,4,600,0.5901,-0.3238,-0.7884,7,8,62,3,23,0,1,84010197
84000006,386.758,2,1,2,2,3,6,6,180,-0.3627,-1.5056,0.1534,7,8,62,3,23,0,1,84010354
84000006,553.908,2,1,1,4,4,6,6,240,0.3171,1.4537,1.6129,7,8,62,3,23,0,1,84010715
84000006,381.296,1,1,2,1,2,4,4,160,-0.7768,-1.1212,-1.1848,7,8,62,3,23,0,1,84001700
84000006,534.154,1,1,2,1,4,2,4,270,0.412,-1.1676,-0.9461,7,8,62,3,23,0,1,84001701
84000006,575.606,1,1,2,3,3,2,5,160,-0.8021,-1.2107,-0.8204,7,8,62,3,23,0,1,84002734
84000006,435.906,1,1,2,3,4,4,4,270,0.9646,0.2687,0.1112,7,8,62,3,23,0,1,84004295
84000006,446.974,1,1,2,2,3,4,4,450,-0.7104,-0.059,-0.4431,7,8,62,3,23,0,1,84004783
84000006,390.025,1,1,2,2,3,3.90680737542481,4.88675085599395,550,-0.5064,-0.3712,0.490457894210123,7,8,62,3,23,0,1,84005004
84000006,355.948,1,2,2,2,3,4,4,90,0.1561,-2.0764,-1.5771,7,8,62,3,23,0,1,84005018
84000006,349.193,1,1,2,1,4,4,4,90,0.6642,0.2197,-0.7127,7,8,62,3,23,0,1,84006185
84000006,385.183,1,1.13941526867151,1.82383254519227,1,3,4,4,440,-0.2687,0.1594,-0.4004,7,8,62,3,23,0,1,84006412
84000006,444.937,1,1,1,2,3,4,4,475,0.2067,0.693,0.1845,7,8,62,3,23,0,1,84008131
84000006,643.507,1,1,2,5,2,6,6,475,-0.6981,1.4157,1.4543,7,8,62,3,23,0,1,84009304
84000006,518.289,1,1,2,4,4,6,6,270,2.5915,0.7786,1.2202,7,8,62,3,23,0,1,84009314
84000006,365.381,1,2,2,1,1,4,6,180,-3.1297,-2.405,-0.6412,7,8,62,3,23,0,1,84009966
84000006,438.968,1,1,1,1,3,5,5,270,-1.0036,0.0267,0.0595,7,8,62,3,23,0,1,84010372
84000006,450.331,1,1,2,5,4,6,6,75,0.6642,-0.2071,0.6306,7,8,62,3,23,0,1,84010756
84000006,548.551,1,1,1,5,3,6,6,270,-0.0699,4.187,2.1215,7,8,62,3,23,0,1,84000938
84000006,591.228,1,1,1,5,3,6,6,450,-0.9678,2.7577,1.5962,7,8,62,3,23,0,1,84003517
84000006,489.664,1,1,1,2,3,5,5,113.385489350838,-0.3381,1.2018,0.7599,7,8,62,3,23,0,1,84004812
84000006,413.561,1,1,2,1,3,4,4,600,-0.3381,-0.8373,-0.4192,7,8,62,3,23,0,1,84010427
