"V1","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","Y","CNTSTUID","SCHID"
1,1,1,2,3,1,6,6,60,-0.5174,0.4937,0.0616,NA,10,90,1,28,0,492.152,84003759,84000004
1,1,1,1,3,3,6,6,0,-0.1862,2.4893,1.9315,NA,10,90,1,28,0,455.596,84003816,84000004
1,1,1,2,1,3,4,4,85,-0.7346,0.4067,0.3892,NA,10,90,1,28,0,374.463,84003989,84000004
1,1,1,1,1,2,4,4,0,-0.9585,-0.4682,-0.4903,NA,10,90,1,28,0,385.232,84004856,84000004
1,1,1,2,4,3,6,6,30,-0.1491,-0.3181,-0.588,NA,10,90,1,28,0,429.118,84005221,84000004
1,1,1,1,5,1,6,6,500,-1.618,0.7771,0.8683,NA,10,90,1,28,0,480.849,84005291,84000004
1,1,1,2,4,2,6,6,100,-0.983,0.2502,-0.1519,NA,10,90,1,28,0,290.802,84005293,84000004
1,1,1,2,6,3,2,4,100,-0.3381,-0.5876,-0.4101,NA,10,90,1,28,0,372,84006621,84000004
1,1,1,2,1,3,6,6,0,-0.5753,-0.2686,0.0708,NA,10,90,1,28,0,480.534,84006707,84000004
1,1,1,1,2,2,NA,6,0,-0.4979,0.4886,0.9896,NA,10,90,1,28,0,353.819,84007438,84000004
1,1,1,2,2,2,6,6,450,-0.654,-0.5279,-0.4171,NA,10,90,1,28,0,418.483,84007457,84000004
1,1,1,1,3,3,6,6,450,-0.6239,0.0297,0.0566,NA,10,90,1,28,0,531.636,84008473,84000004
1,1,1,2,2,3,NA,NA,0,-0.3381,0.5749,NA,NA,10,90,1,28,0,459.853,84009406,84000004
1,1,1,2,3,4,4,4,600,2.5915,0.4654,-0.3537,NA,10,90,1,28,0,369.182,84010026,84000004
1,1,1,2,2,3,4,4,560,-0.3381,-0.2596,0.1444,NA,10,90,1,28,0,322.108,84010445,84000004
1,1,1,1,4,3,6,6,0,-0.5043,1.2547,1.1265,NA,10,90,1,28,0,401.456,84010507,84000004
1,2,1,2,1,2,6,6,110,-0.7244,-1.4,-0.6343,NA,10,90,1,28,0,439.325,84000009,84000004
1,2,1,2,4,3,5,5,0,-0.4725,-0.3292,0.4039,NA,10,90,1,28,0,332.788,84000034,84000004
1,2,NA,NA,NA,9,5,5,NA,NA,NA,NA,NA,10,90,1,28,0,336.546,84000603,84000004
1,2,2,2,6,2,4,4,120,-0.5917,-4.5466,-1.8648,NA,10,90,1,28,0,457.956,84001345,84000004
1,2,1,2,1,4,2,4,480,0.75,-0.7636,-1.1154,NA,10,90,1,28,0,293.181,84001577,84000004
1,2,2,2,1,3,5,5,NA,-0.8498,-1.7262,-1.14,NA,10,90,1,28,0,431.851,84001696,84000004
1,2,1,2,1,4,4,4,500,-0.828,-0.0429,-0.0033,NA,10,90,1,28,0,326.315,84003043,84000004
1,2,1,1,3,4,6,6,0,1.5611,0.862,1.2508,NA,10,90,1,28,0,392.55,84003489,84000004
1,2,1,1,6,2,6,6,0,-1.1053,0.6564,0.2247,NA,10,90,1,28,0,378.295,84003739,84000004
1,2,1,NA,NA,3,4,4,NA,-0.4725,0.3286,-0.4757,NA,10,90,1,28,0,396.205,84004378,84000004
1,2,1,2,4,4,4,4,0,0.5531,0.5121,-0.1195,NA,10,90,1,28,0,434.819,84004957,84000004
1,2,1,1,1,2,4,6,0,-1.2461,0.3521,-0.1351,NA,10,90,1,28,0,412.695,84007453,84000004
1,2,2,1,3,4,4,4,0,0.3171,-1.9211,-1.4168,NA,10,90,1,28,0,391.659,84007628,84000004
1,2,1,2,1,4,4,4,525,2.5915,-1.0124,-0.4422,NA,10,90,1,28,0,499.428,84008697,84000004
1,2,1,NA,3,3,6,6,85,-0.3381,-2.0352,-0.2892,NA,10,90,1,28,0,419.276,84009340,84000004
1,2,1,1,1,4,4,4,300,0.8589,-0.1192,-0.8372,NA,10,90,1,28,0,448.265,84009377,84000004
1,2,1,1,4,3,6,6,0,-0.4725,1.327,1.6627,NA,10,90,1,28,0,427.995,84010576,84000004
1,2,2,1,4,3,4,4,450,-0.5753,-0.4631,-0.9843,7,8,62,3,23,0,462.782,84001098,84000006
1,2,1,2,1,4,6,6,270,1.5043,-0.6003,-0.3404,7,8,62,3,23,0,430.401,84001845,84000006
1,2,1,2,1,3,NA,NA,600,-0.5753,-1.8063,-1.4082,7,8,62,3,23,0,395.94,84001890,84000006
1,2,1,2,1,4,4,4,360,-1.1006,-1.4454,-1.5726,7,8,62,3,23,0,550.85,84001933,84000006
1,2,1,2,3,2,6,6,660,-0.9585,0.4476,0.1067,7,8,62,3,23,0,578.869,84002301,84000006
1,2,1,2,1,3,2,2,135,-0.082,0.2632,-1.0207,7,8,62,3,23,0,351.474,84003676,84000006
1,2,1,1,1,4,4,6,765,-0.7943,1.3852,1.2984,7,8,62,3,23,0,438.07,84004380,84000006
1,2,1,2,1,3,4,5,270,0.0248,-1.0562,-0.8344,7,8,62,3,23,0,522.813,84005885,84000006
1,2,1,2,3,4,6,6,345,-0.378,-0.6327,0.1849,7,8,62,3,23,0,376.307,84005989,84000006
1,2,1,2,1,4,5,5,180,1.5043,-0.8337,-0.7113,7,8,62,3,23,0,493.668,84006449,84000006
1,2,1,2,4,3,5,5,270,0.0248,0.0202,0.367,7,8,62,3,23,0,455.62,84006773,84000006
1,2,1,2,2,1,2,5,360,-1.2082,-0.1757,-0.7381,7,8,62,3,23,0,449.793,84007697,84000006
1,2,1,2,2,2,4,4,140,-0.8616,-0.3043,-0.8019,7,8,62,3,23,0,439.255,84007803,84000006
