"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","CNTSTUID"
12400017,489.506,2,1,1,3,3,6,6,0,-0.3381,0.9734,0.8971,8,6,18,2,23,0,1,12423680
12400017,491.402,2,2,2,4,3,5,6,300,-0.3381,-0.0072,0.9706,8,6,18,2,23,0,1,12424850
12400017,445.397,2,1,1,4,3,4,4,300,-0.1985,0.7563,-0.7221,8,6,18,2,23,0,1,12426545
12400017,349.307,2,1,1,1,3,6,6,300,0.5643,0.7914,0.8095,8,6,18,2,23,0,1,12430290
12400017,541.946,1,1,1,4,4,6,6,300,1.0269,1.1912,1.411,8,6,18,2,23,0,1,12404241
12400017,470.03,1,1,2,2,3,5,5,300,-0.8913,-0.3806,-0.0716,8,6,18,2,23,0,1,12404245
12400017,419.546,1,1,1,5,3,6,6,150,-0.4725,1.6897,1.0022,8,6,18,2,23,0,1,12407193
12400017,565.697,1,1,1,5,2,4,4,325,-1.1284,-0.4124,-0.4077,8,6,18,2,23,0,1,12408631
12400017,438.914,1,1,2,3,4,4,4,250,-1.0987,0.146,0.1488,8,6,18,2,23,0,1,12408976
12400017,365.576,1,1,2,2,3,4,5,300,-0.3381,0.5028,0.5216,8,6,18,2,23,0,1,12411171
12400017,461.624,1,1,2.10742777374638,2.55942142568099,2,6,6,65,-1.0362,-0.5551,0.356,8,6,18,2,23,0,1,12412768
12400017,446.456,1,1,1,4,3,6,6,0,-0.3381,0.694,0.8564,8,6,18,2,23,0,1,12414195
12400017,496.133,1,1,2,2,3,4,4,500,-0.3381,0.662,-0.4468,8,6,18,2,23,0,1,12416258
12400017,517.15,1,1,2,3,2,4,6,300,-1.0536,0.62,0.1266,8,6,18,2,23,0,1,12420884
12400017,296.273,1,1,1,1,2,6,6,60,-0.6985,1.9641,0.6619,8,6,18,2,23,0,1,12421006
12400017,518.285,1,2,2,6,3,5,5,325,-0.3381,-0.3959,0.0261,8,6,18,2,23,0,1,12421079
12400017,456.166,1,1,1,3,3,4,4,300,-0.3381,0.7264,-0.5058,8,6,18,2,23,0,1,12430687
